Params,Type,Description,Sample values
sourceParams.dataProvider.providerName,String,"Name of linked data provider.","Mapbox"
sourceParams.dataProvider.zoom,Integer,"Zoom level (optional).","18"
sourceParams.userDefined.url,String,"Custom tile URL.","https://my-tiles/{z}/{x}/{y}.png"
sourceParams.userDefined.sourceType,String,"XYZ | TMS | QUADKEY | SENTINEL_L2A | LOCAL","XYZ"
sourceParams.userDefined.zoom,Integer,"Zoom level (optional).","19"
sourceParams.userDefined.crs,String,"CRS code (optional).","EPSG:3857"
sourceParams.userDefined.rasterLogin,String,"Raster auth username (optional).","user"
sourceParams.userDefined.rasterPassword,String,"Raster auth password (optional).","pass"
sourceParams.myImagery.imageIds,Array,"List of Mapflow image IDs.","[\"uuid\"]"
sourceParams.myImagery.mosaicId,String,"Optional mosaic ID.","uuid"
sourceParams.imagerySearch.dataProvider,String,"Imagery provider code.","orbview"
sourceParams.imagerySearch.imageIds,Array,"List of imagery IDs.","[\"id\"]"
sourceParams.imagerySearch.zoom,Integer,"Zoom level (optional).","18"
