Params,Type,Description
geometry*,Object,"Processing area in GeoJSON format (Polygon or MultiPolygon)."
name,String,"Processing name (optional)."
description,String,"Processing description (optional)."
projectId,String,"Project ID (optional). If omitted, default project is used."
wdId / wdName,String,"Workflow definition ID or name (provide one)."
params,Object,"Processing parameters."
params.sourceParams,Object,"Data source parameters (required when params is provided)."
params.sourceParams.dataProvider,Object,"Use a linked data provider."
params.sourceParams.imagerySearch,Object,"Use imagery search results."
params.sourceParams.myImagery,Object,"Use images or mosaic from Mapflow storage."
params.sourceParams.userDefined,Object,"Use a custom imagery source."
params.inferenceParams,Object,"Model-specific inference parameters."
blocks,Array,"Model options to enable/disable."
meta,Object,"Optional metadata key-value map."
